OVERALL,POS,BYE,BEST,WORST,AVG,STD DEV,ADP,VS. ADP
Theo Riddick,RB47,6,83,233,142.1,26.6,153,14
Jared Cook,TE18,7,91,201,143.6,21.2,180,40
Devontae Booker,RB48,10,92,205,141.2,23.1,151,10
C.J. Anderson,RB49,4,52,288,144.8,36.6,121,-21
John Brown,WR56,10,85,248,144.7,39.7,159,16
Minnesota (MIN),DST2,10,94,235,144.7,19.5,122,-22
Corey Clement,RB50,9,87,243,145.1,27.3,146,1
Josh Doctson,WR57,4,89,235,141.5,28.7,147,1
Aaron Jones,RB51,7,60,211,141.3,27.5,111,-36
Cameron Brate,TE19,5,77,255,148.5,25.6,178,30
Michael Gallup,WR58,8,87,223,143.2,30.9,144,-5
Derek Carr,QB20,7,103,199,152.6,23.7,137,-13
Austin Seferian-Jenkins,TE20,9,94,244,153.3,29.2,167,16
Blake Bortles,QB21,9,109,240,154,25.5,202,50
Cameron Meredith,WR59,6,87,222,138.4,31.7,150,-3
Benjamin Watson,TE21,6,95,211,150.3,21.4,189,35
Los Angeles (LAR),DST3,12,106,234,152.1,21.1,119,-36
Ricky Seals-Jones,TE22,9,87,234,153.6,30.2,204,48
Philadelphia (PHI),DST4,9,100,236,152.5,19.3,123,-34
Mitch Trubisky,QB22,5,101,236,159.2,21.2,165,7
Eli Manning,QB23,9,114,263,161,23.7,161,2
John Ross,WR60,9,99,254,155.7,35.5,168,8
Jordan Wilkins,RB52,9,80,296,153,37.8,160,-1
Dede Westbrook,WR61,9,72,208,150.9,30.7,171,9
Los Angeles (LAC),DST5,8,111,237,156.9,20.3,145,-18
Mohamed Sanu,WR62,8,90,247,150.4,35.5,157,-7
Calvin Ridley,WR63,8,52,225,147.7,31.8,126,-39
Nick Chubb,RB53,11,107,259,153.2,28.6,120,-46
Andy Dalton,QB24,9,87,252,164.3,29.6,206,39
Tyrell Williams,WR64,8,109,253,159.9,35.8,207,39
Latavius Murray,RB54,10,113,254,161.8,25.4,139,-30
Houston (HOU),DST6,10,116,239,162.5,19.7,149,-21
Austin Hooper,TE23,8,97,226,163.2,25,215,44
DeSean Jackson,WR65,5,97,249,162.1,34.1,172,0
Case Keenum,QB25,10,116,230,166.3,23.8,201,28
James Conner,RB55,7,58,318,176.9,81.7,173,-1
Denver (DEN),DST7,10,122,240,165.5,18.9,155,-20
Paul Richardson,WR66,4,102,238,161.8,33,174,-2
Stephen Gostkowski,K1,11,121,253,165.6,20.1,134,-43
Baltimore (BAL),DST8,10,135,238,170.2,20.3,148,-30
Mike Gesicki,TE24,11,102,262,172,32.5,198,19
Danny Amendola,WR67,11,77,264,169.5,37,187,7
